"firstname","lastname","employeenumber","attrition","jobdirect","joblevel","numcompaniesworked","totalworkingyears","yearsatcompany","yearsincurrentrole","yearssincelastpromotion","yearswithcurrmanager","jobtitle"
"Kathi","Stops",62,False,"Marketing","1",4,14,9,6,0,8,"Marketing B2C Content Analyst"
"Dorette","Browncey",63,False,"IT","1",1,1,1,0,0,1,"IT Operation Big Data Support"
"Nara","Dorsay",64,True,"IT","1",9,23,1,0,0,0,"IT Planning People Assessment"
"Winona","Ramiro",65,True,"IT","1",1,2,2,2,2,2,"IT Security Internal Analyst"
"Fiona","McClary",68,False,"Marketing","1",5,9,4,3,1,3,"Marketing B2C Content Analyst"
"Valaria","Porrett",70,False,"Marketing","1",2,10,4,0,2,3,"Marketing B2C Content Analyst"
"Hube","Bellhouse",72,False,"Marketing","1",7,5,2,2,0,0,"Marketing B2C Content Analyst"
"Dougie","Jaycox",73,False,"IT","1",1,15,15,14,8,12,"IT Planning Product Monitoring"
"Kerry","Garbert",74,False,"Marketing","1",1,9,9,8,1,8,"Marketing B2C Content Analyst"
"Boycie","Gouinlock",75,False,"IT","1",3,4,2,2,2,2,"IT Security External Auditor"
"Julianna","Shave",76,False,"IT","1",3,10,7,7,1,7,"IT Planning People Monitoring"
"Price","Bengal",77,False,"IT","1",1,7,7,5,0,7,"IT Planning People Monitoring"
"Shepperd","OLehane",78,False,"IT","1",1,9,9,8,7,8,"IT Planning People Monitoring"
"Zenia","Justice",79,False,"IT","1",1,10,10,3,9,9,"IT Operation Infrastructure Consultant"
"Ethelind","Guerreiro",80,False,"IT","1",5,29,27,3,13,8,"IT Planning Product Assessment"
"Caritta","Fairnington",81,False,"Marketing","1",7,28,21,16,7,9,"Marketing B2C Content Analyst"
"Corenda","Lyman",83,False,"Marketing","1",1,17,17,14,12,8,"Marketing B2C Content Analyst"
"Hugo","Hammatt",84,False,"IT","1",2,21,5,0,0,2,"IT Planning Product Monitoring"
"Leonelle","Benoy",85,False,"IT","1",1,6,6,5,0,3,"IT Planning People Monitoring"
"Isak","Hunstone",86,False,"IT","1",2,25,1,0,0,0,"IT Planning People Innovation"
"Worthington","Lavies",88,False,"IT","1",4,5,3,2,1,2,"IT Operation Big Data Analyst"
"Joellyn","Owbrick",90,True,"IT","1",0,2,1,0,0,0,"IT Security Internal Analyst"
"Kerr","Kealy",91,False,"Marketing","1",7,20,4,3,1,3,"Marketing B2C Content Analyst"
"Haskell","Neising",94,False,"IT","1",0,6,5,4,0,4,"IT Operation Infrastructure Support"
"Roxie","Simoens",95,False,"IT","1",1,1,1,1,1,0,"IT Operation Infrastructure Consultant"
"Dareen","Dansken",96,False,"IT","1",1,10,10,4,0,9,"IT Planning People Monitoring"
"Perry","Rattray",97,False,"IT","1",3,5,1,0,0,0,"IT Security Internal Network"
"Kaela","Cubberley",98,False,"IT","1",1,11,11,7,1,8,"IT Security External Network"
"Jordanna","Gocke",100,False,"Marketing","1",0,16,15,13,2,8,"Marketing B2C Content Analyst"
"Ulrick","Yonnie",101,False,"IT","1",4,17,0,0,0,0,"IT Planning Product Innovation"
"Fiorenze","Lilleycrop",102,False,"IT","1",4,16,5,2,0,2,"IT Planning Product Monitoring"
"Sally","Siddell",103,False,"Human Resources","1",8,16,4,2,0,2,"HR Organization External Services"
"Florri","Bertolin",104,False,"IT","1",1,10,10,8,3,0,"IT Planning People Assessment"
"Donia","Langelaan",105,False,"IT","1",1,6,6,4,0,4,"IT Operation Infrastructure Support"
"Mariellen","Scini",106,False,"Marketing","1",3,24,1,0,1,0,"Marketing B2C Content Analyst"
"Clemmy","Aishford",107,False,"IT","1",7,17,13,11,1,9,"IT Planning People Assessment"
"Genevieve","Burland",110,False,"IT","1",1,5,5,2,1,3,"IT Security External Network"
"Lanny","Dallin",112,False,"IT","1",4,37,6,4,0,2,"IT Planning People Innovation"
"Selinda","Mepham",113,False,"Marketing","1",3,3,0,0,0,0,"Marketing B2C Content Analyst"
"Frans","Abba",116,False,"IT","1",3,10,4,2,0,3,"IT Operation Big Data Analyst"
"Vanni","Lergan",117,False,"Marketing","1",1,11,11,10,10,8,"Marketing B2C Content Analyst"
"Kerrin","Bemand",118,True,"Marketing","1",1,9,9,8,4,7,"Marketing B2C Content Analyst"
"Hillery","Longmead",119,False,"Marketing","1",1,22,22,3,11,11,"Marketing B2C Content Analyst"
"Fairleigh","Lechmere",120,False,"Marketing","1",0,11,10,7,1,0,"Marketing B2C Content Analyst"
"Izzy","Dumberell",121,False,"Marketing","1",1,11,11,8,2,7,"Marketing B2C Content Analyst"
"Yulma","DAlessio",124,False,"Marketing","1",2,21,10,9,9,5,"Marketing B2C Content Analyst"
"Dewie","Rames",125,False,"Marketing","1",1,12,11,8,5,7,"Marketing B2C Content Analyst"
"Waylon","Bellas",126,False,"IT","1",9,16,4,3,0,3,"IT Planning Product Monitoring"
"Kev","Manjot",128,False,"Marketing","1",0,4,3,2,0,2,"Marketing B2C Content Analyst"
"Arnoldo","Antcliffe",129,False,"Marketing","1",1,5,5,4,0,4,"Marketing B2C Content Analyst"
"Abbie","Dulanty",131,False,"Marketing","1",0,38,37,10,1,8,"Marketing B2C Content Analyst"
"Sashenka","Wilsone",132,False,"IT","1",4,17,3,2,1,2,"IT Operation Big Data Consultant"
"Andrea","Devanney",133,True,"Human Resources","1",4,7,3,2,0,2,"HR Organization External Services"
"Tamqrah","Storrar",134,False,"IT","1",1,1,1,0,0,0,"IT Security Internal Network"
"Melisent","Gauvin",137,True,"IT","1",1,1,1,0,1,0,"IT Security Internal Network"
"Marni","Dunsmuir",138,False,"IT","1",1,16,16,13,2,10,"IT Security External Analyst"
"Yul","Cearley",139,False,"Marketing","1",5,17,1,0,0,0,"Marketing B2C Content Analyst"
"Reece","Beardwell",140,False,"Human Resources","3",9,30,3,2,2,2,"HR Organization Internal"
"Dominique","Dunlap",141,False,"IT","1",3,28,8,3,0,7,"IT Planning Product Assessment"
"Lydie","Ranner",142,True,"Marketing","1",1,6,6,4,0,3,"Marketing B2C Content Analyst"
"Yvon","Lincke",143,False,"IT","1",1,2,2,2,2,1,"IT Security Internal Network"
"Carolynn","Colombier",144,False,"IT","1",1,1,0,0,0,0,"IT Security Internal Network"
"Christiana","Seiffert",145,False,"Marketing","1",3,23,13,12,12,8,"Marketing B2C Content Analyst"
"Cecilia","Braunds",147,True,"IT","1",1,9,9,7,0,6,"IT Planning People Monitoring"
"Alysia","Rack",148,False,"Human Resources","2",2,23,5,3,4,4,"HR People Development Training"
"Alfred","Sambals",150,False,"IT","1",0,6,5,3,1,2,"IT Operation Infrastructure Support"
"Kaylyn","Wethey",151,False,"IT","1",6,12,1,0,0,0,"IT Security External Network"
"Caryn","Geffen",152,False,"Marketing","1",2,12,5,3,1,3,"Marketing B2C Content Analyst"
"Malva","Bygreaves",153,False,"IT","1",2,14,11,10,5,8,"IT Planning Product Innovation"
"Stephen","Niblett",154,False,"Marketing","1",0,10,9,7,2,8,"Marketing B2C Content Analyst"
"Cornie","LeGood",155,False,"IT","1",5,7,1,0,0,0,"IT Operation Infrastructure Support"
"Sascha","Cheese",158,False,"Marketing","1",1,25,25,12,4,12,"Marketing B2C Content Analyst"
"Fania","Ribchester",159,False,"IT","1",1,10,10,7,0,9,"IT Operation Infrastructure Analyst"
"Emalia","Wisniewski",160,False,"Marketing","1",0,8,7,7,0,7,"Marketing B2C Content Analyst"
"Bertrand","Aberchirder",161,True,"IT","1",9,7,5,4,4,3,"IT Security External Analyst"
"Moritz","Corkish",162,False,"IT","2",7,23,20,18,15,15,"IT Operation Big Data Consultant"
"Becka","Halkyard",163,True,"Marketing","1",4,12,7,7,7,7,"Marketing B2C Content Analyst"
"Rufus","Colbrun",164,False,"IT","1",1,5,5,4,4,3,"IT Operation Big Data Support"
"Diann","Hendriks",165,True,"Marketing","1",1,40,40,10,15,6,"Marketing B2C Content Analyst"
"Bond","Klasen",167,True,"Marketing","1",1,0,0,0,0,0,"Marketing B2C Content Analyst"
"Vanna","Leele",169,False,"IT","1",0,3,2,1,2,1,"IT Operation Infrastructure Analyst"
"Micky","Linsley",170,False,"IT","1",1,16,15,11,5,11,"IT Planning People Monitoring"
"Lilyan","Dickens",171,False,"IT","1",4,18,3,2,1,2,"IT Security External Analyst"
"Daniela","Keese",174,False,"Marketing","1",4,16,2,2,2,1,"Marketing B2C Content Analyst"
"Haskel","Mallen",175,True,"Marketing","1",3,4,2,2,2,2,"Marketing B2C Content Analyst"
"Eadmund","Drinkel",176,False,"Marketing","1",3,12,9,7,0,7,"Marketing B2C Content Analyst"
"Efren","Murrill",177,False,"Human Resources","1",1,8,8,7,5,7,"HR Organization External Services"
"Henrieta","Gaukrodge",178,False,"IT","1",6,7,3,2,0,1,"IT Security External Analyst"
"Ethelbert","Birrel",179,True,"IT","1",2,18,4,2,0,3,"IT Planning Product Innovation"
"Shelley","Hay",182,False,"Marketing","1",4,17,15,11,5,9,"Marketing B2C Content Analyst"
"Sibyl","Barham",183,False,"Marketing","1",2,6,2,2,2,2,"Marketing B2C Content Analyst"
"Flemming","Weiner",184,False,"Human Resources","1",0,12,11,9,4,7,"HR Organization External Services"
"Normy","Lawlie",190,True,"IT","1",7,10,5,4,0,4,"IT Security External Auditor"
"Reinold","Longhorn",192,False,"IT","1",5,9,6,5,0,3,"IT Security Internal Auditor"
"Gretta","Huncoot",193,False,"IT","1",3,19,3,2,2,2,"IT Security External Network"
"Jasmine","Janse",194,False,"IT","1",1,5,5,4,0,4,"IT Operation Infrastructure Analyst"
"Joanne","Ebbing",195,False,"Marketing","1",0,9,8,7,0,7,"Marketing B2C Content Analyst"
"Mercie","Buer",197,False,"IT","1",5,8,3,2,2,2,"IT Security Internal Analyst"
"Demetris","Daveren",198,False,"IT","1",0,6,5,3,1,2,"IT Operation Infrastructure Support"
"Araldo","Troutbeck",199,False,"IT","1",4,21,7,6,7,7,"IT Planning Product Assessment"
"Colver","Andriulis",200,False,"IT","1",2,7,5,0,1,4,"IT Operation Big Data Analyst"
"Joli","Milius",201,False,"IT","1",1,1,1,0,0,0,"IT Operation Big Data Consultant"
"Nadine","Proctor",202,False,"IT","1",1,20,20,7,2,13,"IT Planning People Assessment"
"Kendal","Akhurst",204,False,"Marketing","1",1,10,10,8,0,6,"Marketing B2C Content Analyst"
"Teodora","Matfin",205,False,"Marketing","1",2,13,7,7,4,5,"Marketing B2C Content Analyst"
"Noell","Foxen",206,False,"IT","1",8,20,17,9,0,15,"IT Operation Big Data Support"
"Quentin","Wreakes",207,False,"Marketing","1",1,9,9,8,3,7,"Marketing B2C Content Analyst"
"Betteann","Marcq",208,False,"IT","1",1,10,10,7,0,9,"IT Security External Network"
"Britni","Danielis",211,False,"IT","1",2,10,1,0,0,0,"IT Planning People Monitoring"
"Thain","Woodhams",214,False,"IT","1",4,9,1,0,0,0,"IT Security Internal Analyst"
"Ado","Graith",215,False,"Marketing","1",7,15,12,11,2,11,"Marketing B2C Content Analyst"
"Bertram","Dows",216,False,"Marketing","1",6,6,4,3,1,2,"Marketing B2C Content Analyst"
"Goran","Longman",217,False,"IT","1",1,2,2,2,2,2,"IT Operation Big Data Support"
"Randolf","Regis",218,False,"IT","1",6,6,2,2,2,2,"IT Operation Big Data Consultant"
"Correy","Bordone",221,False,"IT","1",1,5,5,2,0,2,"IT Operation Infrastructure Support"
"Maxie","Kingsnoad",223,False,"Marketing","1",3,12,5,3,1,4,"Marketing B2C Content Analyst"
"Nari","Huke",224,False,"IT","1",1,1,1,1,0,1,"IT Operation Infrastructure Analyst"
"Coreen","Aggis",226,False,"IT","4",3,21,5,4,4,4,"IT Planning"
"Bernie","Dewen",227,False,"IT","1",4,13,9,8,1,8,"IT Operation Infrastructure Consultant"
"Rozella","Hesbrook",228,False,"Marketing","1",2,12,10,9,7,4,"Marketing B2C Content Analyst"
"Barris","Wloch",230,False,"Marketing","1",4,12,8,3,0,7,"Marketing B2C Content Analyst"
"Tommie","OFihillie",231,False,"IT","1",3,8,5,4,1,4,"IT Security Internal Network"
"Manya","Feasey",233,False,"IT","1",0,6,5,2,1,1,"IT Security Internal Network"
"Gianna","Sant",235,True,"Marketing","1",0,1,0,0,0,0,"Marketing B2C Content Analyst"
"Haywood","Bodiam",238,False,"IT","1",4,13,8,7,7,2,"IT Operation Big Data Analyst"
"Beck","Durban",239,False,"IT","1",1,12,12,9,6,10,"IT Security Internal Network"
"Tara","Kidgell",240,False,"Marketing","1",4,9,5,4,0,3,"Marketing B2C Content Analyst"
"Fredia","Cordall",241,False,"IT","1",4,19,2,2,2,2,"IT Security External Network"
"Essy","Perone",242,False,"IT","1",0,4,3,1,0,2,"IT Operation Infrastructure Consultant"
"Clemens","Govan",243,True,"IT","1",1,1,1,0,1,0,"IT Operation Big Data Consultant"
"Neall","Wiffill",244,False,"Marketing","1",1,24,24,13,15,7,"Marketing B2C Content Analyst"
"Mellisa","Serman",245,False,"IT","1",1,2,2,2,2,1,"IT Operation Big Data Support"
"Patrick","McJarrow",246,False,"IT","1",8,7,4,2,0,2,"IT Security External Auditor"
"Benyamin","Binge",247,False,"IT","1",2,9,3,2,1,2,"IT Operation Big Data Support"
"Ricca","Nichols",248,True,"Marketing","1",1,4,4,3,0,2,"Marketing B2C Content Analyst"
"Helyn","Peele",249,False,"IT","1",2,5,3,2,0,2,"IT Security Internal Auditor"
"Antonietta","Trinkwon",250,False,"IT","1",1,5,4,2,1,3,"IT Security External Network"
"Odey","Bernaciak",252,False,"IT","1",1,8,8,7,1,6,"IT Operation Infrastructure Support"
"Vincents","Spottiswoode",253,False,"IT","1",1,21,20,8,9,9,"IT Planning Product Assessment"
"Sebastien","Birchenough",254,False,"IT","1",8,36,24,15,2,15,"IT Planning Product Assessment"
"Gerianna","Moralee",256,False,"IT","1",1,10,10,9,1,9,"IT Planning People Innovation"
"Lindon","Frowen",258,False,"Marketing","1",3,21,7,7,1,0,"Marketing B2C Content Analyst"
"Timmie","Bradburne",259,False,"IT","5",0,34,33,18,11,9,"Director of IT"
"Kettie","Este",260,False,"IT","1",1,7,7,7,0,3,"IT Operation Big Data Support"
"Frieda","Rupert",261,True,"IT","1",3,8,1,0,0,1,"IT Planning People Monitoring"
"Vin","Pettisall",262,False,"IT","1",4,7,5,4,2,2,"IT Operation Big Data Analyst"
"Melonie","Loughren",264,False,"IT","1",9,22,20,8,11,8,"IT Planning Product Monitoring"
"Libbie","Harding",267,False,"IT","1",1,8,8,7,1,7,"IT Security Internal Auditor"
"Corri","Harley",269,False,"IT","1",5,10,6,2,1,2,"IT Security External Network"
"Reyna","Eustis",270,False,"IT","1",2,11,5,3,0,2,"IT Planning People Assessment"
"Adrienne","Scarrott",271,False,"IT","1",9,14,1,0,0,0,"IT Planning People Monitoring"
"Stanfield","Mitkov",273,False,"IT","1",3,9,7,7,1,7,"IT Planning People Monitoring"
"Northrop","Whetnell",274,False,"IT","1",5,6,2,2,2,0,"IT Security External Network"
"Lannie","Madeley",275,False,"IT","1",1,7,7,7,1,7,"IT Planning People Innovation"
"Jamaal","Hatfull",277,False,"IT","1",1,5,5,3,2,0,"IT Security External Auditor"
"Francisco","Fairburn",281,False,"IT","1",8,15,7,2,3,7,"IT Operation Infrastructure Support"
"Odey","OKeeffe",282,True,"Marketing","1",7,17,1,0,0,0,"Marketing B2C Content Analyst"
"Fawnia","Revie",283,True,"Marketing","1",1,10,10,4,1,9,"Marketing B2C Content Analyst"
"Alfonse","Buttriss",284,False,"IT","1",1,4,4,2,2,2,"IT Operation Big Data Support"
"Imogen","Lefridge",286,False,"IT","1",1,8,8,1,1,7,"IT Operation Big Data Analyst"
"Temple","Rothwell",287,False,"Marketing","1",9,5,3,2,0,2,"Marketing B2C Content Analyst"
"Ruthie","Georgiev",288,False,"Marketing","1",7,17,4,2,0,3,"Marketing B2C Content Analyst"
"Louella","Temple",291,True,"Marketing","1",1,14,14,8,9,8,"Marketing B2C Content Analyst"
"Yorke","Lokier",292,False,"IT","1",1,12,11,8,5,8,"IT Planning People Innovation"
"Rance","Lynd",293,False,"Marketing","1",1,7,7,7,0,7,"Marketing B2C Content Analyst"
"Archibaldo","Gransden",296,False,"IT","1",5,16,10,9,4,7,"IT Planning Product Innovation"
"Zerk","Poyle",297,True,"IT","1",5,8,5,2,0,4,"IT Operation Infrastructure Analyst"
"Alessandro","Simenot",298,False,"Marketing","1",3,16,1,0,0,0,"Marketing B2C Content Analyst"
"Andy","Witten",299,True,"Marketing","1",5,9,6,3,0,1,"Marketing B2C Content Creatives"
"Owen","Calbreath",300,True,"IT","1",0,7,6,2,1,5,"IT Operation Big Data Consultant"
"Even","Bolgar",302,False,"Marketing","1",6,23,19,7,12,8,"Marketing B2C Content Creatives"
"Melessa","Ellar",303,False,"Marketing","1",2,16,6,2,0,5,"Marketing B2C Content Creatives"
"Cherrita","Ormshaw",304,False,"IT","1",8,16,13,11,3,7,"IT Planning People Monitoring"
"Leola","Zellick",305,False,"IT","1",6,7,3,2,1,1,"IT Operation Infrastructure Analyst"
"Briana","Bonnick",306,False,"IT","1",1,10,10,8,0,7,"IT Planning Product Innovation"
"Zia","Grayland",307,False,"Marketing","1",0,17,16,10,5,13,"Marketing B2C Content Creatives"
"Nydia","McVrone",308,False,"IT","1",0,6,5,4,1,4,"IT Security External Network"
"Ferd","Pinchon",309,False,"IT","1",3,7,1,0,0,0,"IT Operation Big Data Analyst"
"Vitoria","Franzettoini",311,False,"Marketing","1",4,13,9,8,5,8,"Marketing B2C Content Creatives"
"Miguela","Judge",312,False,"Marketing","1",1,11,11,10,4,1,"Marketing B2C Content Creatives"
"Hettie","Moran",314,False,"Marketing","1",1,10,10,7,0,8,"Marketing B2C Content Creatives"
"Ilka","Moisey",315,True,"IT","1",1,4,4,3,0,1,"IT Operation Infrastructure Consultant"
"Dorolice","Rangle",316,False,"IT","1",7,6,2,2,2,2,"IT Security Internal Analyst"
"Adolf","Narducci",319,False,"IT","2",1,22,22,17,11,15,"IT Planning Product Innovation"
"Leoline","Jouanot",321,False,"Human Resources","1",8,7,2,2,2,2,"HR Organization External Services"
"Alister","Easterbrook",323,False,"Marketing","3",3,32,7,0,0,6,"Marketing B2C Product"
"Chloe","Defew",325,True,"IT","1",5,8,5,4,0,4,"IT Operation Infrastructure Consultant"
"Cybill","ODuilleain",327,False,"Marketing","1",5,22,17,13,1,9,"Marketing B2C Content Creatives"
"Delia","Nerney",328,True,"IT","1",7,13,9,7,1,7,"IT Operation Infrastructure Support"
"Timi","Gavriel",329,False,"Marketing","3",1,33,33,7,15,12,"Marketing B2C Content"
"Donelle","Lansdale",330,False,"Marketing","1",2,6,4,3,1,2,"Marketing B2C Content Creatives"
"Pennie","Whitelaw",331,True,"IT","1",0,4,3,2,1,2,"IT Security Internal Auditor"
"Derrek","Farquar",332,False,"IT","1",7,7,3,2,1,2,"IT Operation Big Data Analyst"
"Janina","Bentham",333,False,"Marketing","1",0,4,3,2,2,2,"Marketing B2C Content Creatives"
"Rafaello","Jaxon",334,False,"IT","1",2,17,1,0,0,0,"IT Security Internal Network"
"Ki","Lowery",335,False,"IT","1",1,9,9,8,4,7,"IT Security Internal Analyst"
"Flo","Goreway",336,False,"IT","2",0,25,24,0,1,7,"IT Planning Product Monitoring"
"Else","Dessaur",337,False,"IT","1",9,9,2,2,2,2,"IT Planning Product Monitoring"
"Auroora","De Bruyn",338,False,"IT","1",1,2,2,2,0,2,"IT Security Internal Network"
"Inge","Boog",339,False,"IT","1",6,13,11,9,5,9,"IT Planning People Monitoring"
"Elonore","Scurfield",340,False,"IT","1",2,17,3,1,0,2,"IT Security External Auditor"
"Addia","Penna",341,False,"IT","1",4,9,3,2,0,2,"IT Planning People Monitoring"
"Kettie","Barwis",342,True,"IT","1",6,17,1,0,0,0,"IT Planning People Innovation"
"Gregoor","Tudgay",343,False,"Marketing","1",0,20,19,6,11,8,"Marketing B2C Content Creatives"
"Woody","Elwin",346,False,"IT","1",1,6,6,5,1,5,"IT Operation Big Data Support"
"Chelsae","Shimuk",347,False,"IT","1",3,10,3,2,0,2,"IT Planning People Monitoring"
"Ferris","Follows",349,False,"Marketing","1",2,10,3,2,0,2,"Marketing B2C Content Creatives"
"Boycie","McCorkindale",350,False,"IT","1",0,5,4,2,1,2,"IT Security External Analyst"
"Nonna","Powrie",351,False,"IT","1",0,10,9,6,7,8,"IT Operation Infrastructure Analyst"
"Sinclare","Huie",352,False,"IT","2",0,22,21,7,3,9,"IT Security Internal Auditor"
"Kellsie","Dulake",353,False,"IT","1",1,1,1,0,0,0,"IT Operation Infrastructure Support"
"Ken","de Copeman",355,True,"IT","1",0,6,5,4,1,4,"IT Security Internal Auditor"
"Desmund","Stittle",359,False,"IT","1",1,5,5,1,0,3,"IT Operation Infrastructure Support"
"Zebulon","Catton",361,False,"Marketing","1",3,13,8,7,7,5,"Marketing B2C Content Creatives"
"Pearle","Tremayne",362,False,"IT","1",4,9,6,2,0,4,"IT Operation Big Data Analyst"
"Leah","Mourbey",363,False,"Marketing","1",3,28,7,7,7,7,"Marketing B2C Content Creatives"
"Palmer","Sonnenschein",364,True,"IT","1",2,5,0,0,0,0,"IT Security Internal Auditor"
"Essy","Turban",366,False,"Marketing","1",2,10,0,0,0,0,"Marketing B2C Content Creatives"
"Carly","Rasher",367,False,"Marketing","1",0,10,9,0,7,8,"Marketing B2C Content Creatives"
"Nolan","Quin",369,False,"Marketing","1",1,6,6,3,1,5,"Marketing B2C Content Creatives"
"Halli","Hannond",372,False,"Marketing","1",0,21,20,7,4,10,"Marketing B2C Content Creatives"
"Rurik","Suggate",373,False,"IT","1",0,16,15,13,10,11,"IT Security Internal Analyst"
"Cullen","De Caville",374,False,"IT","1",0,37,36,10,4,13,"IT Planning Product Assessment"
"Danya","Passion",376,True,"IT","1",1,10,10,7,9,9,"IT Planning Product Innovation"
"Kenneth","Itscowicz",377,False,"IT","1",1,5,5,2,0,4,"IT Operation Big Data Consultant"
"Zacherie","Gomby",378,False,"Marketing","1",4,7,5,4,0,1,"Marketing B2C Content Creatives"
"Dannie","Pullar",379,False,"IT","1",1,3,3,2,1,0,"IT Security Internal Analyst"
"Lyle","More",380,False,"IT","1",2,15,5,2,0,2,"IT Planning Product Monitoring"
"Padraig","Strike",381,False,"IT","1",7,10,7,7,6,2,"IT Planning Product Innovation"
"Blinnie","FitzGilbert",382,False,"Marketing","1",1,8,8,0,7,7,"Marketing B2C Content Creatives"
"Steffie","Stone Fewings",384,False,"IT","1",1,6,6,5,1,4,"IT Planning People Monitoring"
"Siegfried","Klaaassen",385,False,"IT","1",3,28,10,4,1,6,"IT Planning Product Assessment"
"Elsinore","Bruhnke",386,False,"IT","1",3,21,5,3,1,3,"IT Planning Product Assessment"
"Darla","Jaan",387,False,"Marketing","1",1,20,20,16,11,6,"Marketing B2C Content Creatives"
"Verla","Adamou",388,False,"Marketing","1",1,10,10,7,0,9,"Marketing B2C Content Creatives"
"Zarah","Marsh",389,False,"IT","1",3,12,10,7,0,8,"IT Planning People Assessment"
